Tool ,Cutting speed (V),Feed (F),Depth of Cut (D),a,(F) ^ a,b,(D) ^ b,V * Fa * Db,RHS,n,1/n,Tool Life (min),Tool failure (min)
730,1000,0.17,0.2,0.6,0.345357867,0.15,0.78551503,271.283795,3.730410805,0.33,3.03030303,54.0251449,45.6
731,1000,0.15,0.3,0.6,0.32037215,0.15,0.834772605,267.437894,3.784056122,0.33,3.03030303,56.41395819,54
732,1000,0.17,0.29,0.6,0.345357867,0.15,0.830538367,286.8329586,3.5281859,0.33,3.03030303,45.62961963,41.12
733,900,0.16,0.21,0.6,0.333021283,0.15,0.791284929,237.1632501,4.267102933,0.33,3.03030303,81.18845946,79.54
734,1100,0.11,0.28,0.6,0.265971811,0.15,0.826178149,241.7141089,4.186764292,0.33,3.03030303,76.64438399,74.5
735,900,0.19,0.26,0.6,0.369191897,0.15,0.817045048,271.4817701,3.727690443,0.33,3.03030303,53.90584767,52.71
736,900,0.14,0.28,0.6,0.30738086,0.15,0.826178149,228.5562151,4.427794709,0.33,3.03030303,90.81213154,83.5
737,700,0.16,0.31,0.6,0.333021283,0.15,0.838888526,195.5574131,5.174950844,0.33,3.03030303,145.6639922,144.58
738,900,0.1,0.26,0.6,0.251188643,0.15,0.817045048,184.7091933,5.478882679,0.33,3.03030303,173.165196,167.35
739,900,0.17,0.24,0.6,0.345357867,0.15,0.807293929,250.924778,4.033081182,0.33,3.03030303,68.43267666,58.63
740,800,0.13,0.2,0.6,0.294012647,0.15,0.78551503,184.7610824,5.477343968,0.33,3.03030303,173.0178671,164.15
741,1000,0.18,0.19,0.6,0.357407369,0.15,0.779494473,278.5970691,3.632486168,0.33,3.03030303,49.84111917,41.37
742,800,0.13,0.22,0.6,0.294012647,0.15,0.796825827,187.4214962,5.399594074,0.33,3.03030303,165.6822932,162.87
743,1100,0.2,0.2,0.6,0.380730788,0.15,0.78551503,328.9767319,3.076205403,0.33,3.03030303,30.1185691,21.09
744,1000,0.18,0.24,0.6,0.357407369,0.15,0.807293929,288.5327994,3.507400206,0.33,3.03030303,44.81987865,40.56
745,1200,0.12,0.25,0.6,0.280226206,0.15,0.812252396,273.1372893,3.705096447,0.33,3.03030303,52.92183588,50.18
746,1200,0.15,0.25,0.6,0.32037215,0.15,0.812252396,312.2676556,3.240809548,0.33,3.03030303,35.2723892,30.44
747,1200,0.14,0.29,0.6,0.30738086,0.15,0.830538367,306.3499171,3.303412025,0.33,3.03030303,37.37785543,31.7
748,700,0.1,0.25,0.6,0.251188643,0.15,0.812252396,142.8200041,7.085842114,0.33,3.03030303,377.5233795,368.1
749,900,0.14,0.28,0.6,0.30738086,0.15,0.826178149,228.5562151,4.427794709,0.33,3.03030303,90.81213154,87.88
750,900,0.13,0.23,0.6,0.294012647,0.15,0.802156626,212.2597734,4.76774277,0.33,3.03030303,113.6300984,110.34
751,1100,0.11,0.29,0.6,0.265971811,0.15,0.830538367,242.9897733,4.164784328,0.33,3.03030303,75.43155845,73.8
752,1200,0.19,0.19,0.6,0.369191897,0.15,0.779494473,345.3396518,2.930448313,0.33,3.03030303,25.99870489,25.68
753,800,0.1,0.3,0.6,0.251188643,0.15,0.834772605,167.7483184,6.032847362,0.33,3.03030303,231.8564617,223.8
754,900,0.16,0.28,0.6,0.333021283,0.15,0.826178149,247.6214166,4.086883978,0.33,3.03030303,71.2367284,66.25
755,1000,0.14,0.26,0.6,0.30738086,0.15,0.817045048,251.1440096,4.029560576,0.33,3.03030303,68.25181561,67.92
756,1100,0.11,0.29,0.6,0.265971811,0.15,0.830538367,242.9897733,4.164784328,0.33,3.03030303,75.43155845,68.57
757,1200,0.1,0.23,0.6,0.251188643,0.15,0.802156626,241.7911615,4.185430079,0.33,3.03030303,76.57039403,68.28
758,800,0.11,0.27,0.6,0.265971811,0.15,0.821683497,174.8357185,5.788290908,0.33,3.03030303,204.5307617,197.17
759,1000,0.16,0.3,0.6,0.333021283,0.15,0.834772605,277.9970439,3.640326479,0.33,3.03030303,50.16782313,43.37
760,1100,0.13,0.21,0.6,0.294012647,0.15,0.791284929,255.9125538,3.954475796,0.33,3.03030303,64.47040062,62.16
761,800,0.13,0.23,0.6,0.294012647,0.15,0.802156626,188.6753541,5.363710617,0.33,3.03030303,162.3682188,152.49
762,1000,0.19,0.19,0.6,0.369191897,0.15,0.779494473,287.7830432,3.516537976,0.33,3.03030303,45.17465913,37.76
763,900,0.14,0.25,0.6,0.30738086,0.15,0.812252396,224.7037561,4.503707536,0.33,3.03030303,95.61272547,86.49
764,1200,0.11,0.3,0.6,0.265971811,0.15,0.834772605,266.4311782,3.798354257,0.33,3.03030303,57.06238248,55.62
765,900,0.17,0.21,0.6,0.345357867,0.15,0.791284929,245.9488275,4.114677067,0.33,3.03030303,72.71491539,63.36
766,900,0.18,0.22,0.6,0.357407369,0.15,0.796825827,256.3122804,3.948308673,0.33,3.03030303,64.16620541,55.44
767,1200,0.18,0.31,0.6,0.357407369,0.15,0.838888526,359.7899294,2.812752435,0.33,3.03030303,22.9617283,20.12
768,800,0.19,0.31,0.6,0.369191897,0.15,0.838888526,247.7686769,4.084454955,0.33,3.03030303,71.10850501,70.56
769,1000,0.13,0.23,0.6,0.294012647,0.15,0.802156626,235.8441926,4.290968493,0.33,3.03030303,82.57228832,81.79
770,900,0.19,0.21,0.6,0.369191897,0.15,0.791284929,262.9223856,3.849044643,0.33,3.03030303,59.40141808,49.93
771,800,0.19,0.28,0.6,0.369191897,0.15,0.826178149,244.0146226,4.147292442,0.33,3.03030303,74.47561907,66.61
772,1200,0.12,0.29,0.6,0.280226206,0.15,0.830538367,279.2863391,3.623521305,0.33,3.03030303,49.46930576,48.53
773,900,0.15,0.25,0.6,0.32037215,0.15,0.812252396,234.2007417,4.321079398,0.33,3.03030303,84.34068231,79.44
774,1100,0.1,0.3,0.6,0.251188643,0.15,0.834772605,230.6539378,4.387525354,0.33,3.03030303,88.33241793,86.59
775,1200,0.18,0.26,0.6,0.357407369,0.15,0.817045048,350.4215056,2.887950607,0.33,3.03030303,24.87290717,23.23
776,900,0.17,0.22,0.6,0.345357867,0.15,0.796825827,247.6710609,4.086064785,0.33,3.03030303,71.19346748,62.54
777,800,0.14,0.31,0.6,0.30738086,0.15,0.838888526,206.2866212,4.905795608,0.33,3.03030303,123.8964719,123
778,1000,0.11,0.24,0.6,0.265971811,0.15,0.807293929,214.7174285,4.713171199,0.33,3.03030303,109.7344715,104.52
779,900,0.16,0.31,0.6,0.333021283,0.15,0.838888526,251.4309597,4.024961767,0.33,3.03030303,68.01604769,65.74
780,900,0.11,0.25,0.6,0.265971811,0.15,0.812252396,194.4326171,5.204888024,0.33,3.03030303,148.2325597,141.83
781,700,0.11,0.26,0.6,0.265971811,0.15,0.817045048,152.117666,6.652744724,0.33,3.03030303,311.8473067,302.9
782,900,0.19,0.2,0.6,0.369191897,0.15,0.78551503,261.0052057,3.877317302,0.33,3.03030303,60.7335004,58.19
783,1000,0.17,0.23,0.6,0.345357867,0.15,0.802156626,277.0311011,3.653019448,0.33,3.03030303,50.69977278,46.39
784,1100,0.16,0.28,0.6,0.333021283,0.15,0.826178149,302.648398,3.343814164,0.33,3.03030303,38.78042144,35.26
785,700,0.19,0.2,0.6,0.369191897,0.15,0.78551503,203.0040489,4.985122245,0.33,3.03030303,130.0676007,128.54
786,1100,0.15,0.21,0.6,0.32037215,0.15,0.791284929,278.8562192,3.629110381,0.33,3.03030303,49.70089104,45.51
787,1000,0.13,0.22,0.6,0.294012647,0.15,0.796825827,234.2768702,4.319675259,0.33,3.03030303,84.25765945,79.31
788,900,0.1,0.31,0.6,0.251188643,0.15,0.838888526,189.6473434,5.33622028,0.33,3.03030303,159.8595674,151.91
789,1200,0.15,0.23,0.6,0.32037215,0.15,0.802156626,308.3863714,3.281597677,0.33,3.03030303,36.63489545,36.09
790,700,0.11,0.25,0.6,0.265971811,0.15,0.812252396,151.2253688,6.691998888,0.33,3.03030303,317.4566467,313.41
791,1200,0.11,0.28,0.6,0.265971811,0.15,0.826178149,263.6881188,3.837867268,0.33,3.03030303,58.88023673,50.7
792,900,0.16,0.26,0.6,0.333021283,0.15,0.817045048,244.8840511,4.132568027,0.33,3.03030303,73.67724322,65.79
793,1000,0.2,0.22,0.6,0.380730788,0.15,0.796825827,303.3761248,3.335793153,0.33,3.03030303,38.49921351,37.48
794,1200,0.12,0.19,0.6,0.280226206,0.15,0.779494473,262.1217349,3.860801548,0.33,3.03030303,59.95294778,53.66
795,1200,0.15,0.19,0.6,0.32037215,0.15,0.779494473,299.673984,3.37700319,0.33,3.03030303,39.95862337,37.88
796,1200,0.17,0.23,0.6,0.345357867,0.15,0.802156626,332.4373213,3.044182873,0.33,3.03030303,29.17849201,25.77
797,1100,0.13,0.23,0.6,0.294012647,0.15,0.802156626,259.4286119,3.900880449,0.33,3.03030303,61.85886413,54.88
798,1200,0.11,0.29,0.6,0.265971811,0.15,0.830538367,265.0797527,3.817718968,0.33,3.03030303,57.94851217,55.35
799,1200,0.11,0.26,0.6,0.265971811,0.15,0.817045048,260.7731418,3.880767755,0.33,3.03030303,60.89742777,52.73
800,900,0.13,0.22,0.6,0.294012647,0.15,0.796825827,210.8491832,4.799639177,0.33,3.03030303,115.949386,108.64
801,700,0.14,0.24,0.6,0.30738086,0.15,0.807293929,173.7026914,5.826046745,0.33,3.03030303,208.6003558,199.71
802,900,0.16,0.25,0.6,0.333021283,0.15,0.812252396,243.4476016,4.156952023,0.33,3.03030303,75.00250947,72.73
803,1000,0.12,0.25,0.6,0.280226206,0.15,0.812252396,227.6144077,4.446115736,0.33,3.03030303,91.95557649,90.48
804,1200,0.15,0.26,0.6,0.32037215,0.15,0.817045048,314.1101742,3.221799493,0.33,3.03030303,34.6491393,25.29
805,900,0.13,0.19,0.6,0.294012647,0.15,0.779494473,206.2631097,4.906354809,0.33,3.03030303,123.9392729,115.02
806,900,0.19,0.23,0.6,0.369191897,0.15,0.802156626,266.5347539,3.796878213,0.33,3.03030303,56.99521354,48.68
807,1000,0.15,0.22,0.6,0.32037215,0.15,0.796825827,255.2808032,3.96426205,0.33,3.03030303,64.95509119,59.4
808,800,0.13,0.19,0.6,0.294012647,0.15,0.779494473,183.3449864,5.51964916,0.33,3.03030303,177.0991953,175.03
809,1200,0.19,0.27,0.6,0.369191897,0.15,0.821683497,364.0306669,2.779985568,0.33,3.03030303,22.16069918,15.19
810,900,0.16,0.3,0.6,0.333021283,0.15,0.834772605,250.1973395,4.044807199,0.33,3.03030303,69.0373828,60.69
811,800,0.13,0.21,0.6,0.294012647,0.15,0.791284929,186.1182209,5.43740422,0.33,3.03030303,169.2230251,167.87
812,900,0.19,0.24,0.6,0.369191897,0.15,0.807293929,268.2417392,3.772716368,0.33,3.03030303,55.90322171,51.52
813,1000,0.16,0.27,0.6,0.333021283,0.15,0.821683497,273.6380924,3.698315505,0.33,3.03030303,52.62887857,46.48
814,1000,0.19,0.19,0.6,0.369191897,0.15,0.779494473,287.7830432,3.516537976,0.33,3.03030303,45.17465913,40.96
815,1000,0.19,0.19,0.6,0.369191897,0.15,0.779494473,287.7830432,3.516537976,0.33,3.03030303,45.17465913,36.74
816,700,0.16,0.19,0.6,0.333021283,0.15,0.779494473,181.7117746,5.569259351,0.33,3.03030303,181.9668389,175.01
817,1200,0.12,0.24,0.6,0.280226206,0.15,0.807293929,271.4698981,3.727853464,0.33,3.03030303,53.9129917,53.37
818,1200,0.17,0.2,0.6,0.345357867,0.15,0.78551503,325.540554,3.108675671,0.33,3.03030303,31.09229435,28.21
819,900,0.11,0.2,0.6,0.265971811,0.15,0.78551503,188.0323699,5.382052039,0.33,3.03030303,164.056565,158.95
820,1100,0.14,0.3,0.6,0.30738086,0.15,0.834772605,282.2524334,3.585442959,0.33,3.03030303,47.91072922,41.24
821,700,0.16,0.19,0.6,0.333021283,0.15,0.779494473,181.7117746,5.569259351,0.33,3.03030303,181.9668389,178.41
822,1200,0.16,0.27,0.6,0.333021283,0.15,0.821683497,328.3657109,3.081929588,0.33,3.03030303,30.28872179,26.21
823,700,0.16,0.31,0.6,0.333021283,0.15,0.838888526,195.5574131,5.174950844,0.33,3.03030303,145.6639922,143.17
824,1200,0.1,0.22,0.6,0.251188643,0.15,0.796825827,240.184318,4.213430788,0.33,3.03030303,78.13326135,77.2
825,1100,0.16,0.19,0.6,0.333021283,0.15,0.779494473,285.5470744,3.544074133,0.33,3.03030303,46.25513925,39.7
826,1000,0.18,0.31,0.6,0.357407369,0.15,0.838888526,299.8249412,3.375302922,0.33,3.03030303,39.89768926,39.54
827,1100,0.14,0.22,0.6,0.30738086,0.15,0.796825827,269.4219088,3.756190447,0.33,3.03030303,55.16446435,45.55
828,1000,0.14,0.2,0.6,0.30738086,0.15,0.78551503,241.4522856,4.191304289,0.33,3.03030303,76.89651215,69.91
829,700,0.19,0.28,0.6,0.369191897,0.15,0.826178149,213.5127948,4.739762791,0.33,3.03030303,111.6213561,108.88
830,700,0.13,0.28,0.6,0.294012647,0.15,0.826178149,170.034777,5.95172363,0.33,3.03030303,222.5370323,214.12
831,1100,0.19,0.29,0.6,0.369191897,0.15,0.830538367,337.2908388,3.000377963,0.33,3.03030303,27.92465261,27.39
832,1000,0.13,0.27,0.6,0.294012647,0.15,0.821683497,241.5853396,4.188995912,0.33,3.03030303,76.76824738,73
833,1200,0.17,0.29,0.6,0.345357867,0.15,0.830538367,344.1995503,2.940154916,0.33,3.03030303,26.26054159,19.88
834,1000,0.2,0.23,0.6,0.380730788,0.15,0.802156626,305.4057242,3.313624859,0.33,3.03030303,37.72912966,31.71
835,1100,0.15,0.23,0.6,0.32037215,0.15,0.802156626,282.6875071,3.579924739,0.33,3.03030303,47.68763085,43.91
836,900,0.15,0.26,0.6,0.32037215,0.15,0.817045048,235.5826307,4.295732657,0.33,3.03030303,82.85041404,73.54
837,1000,0.12,0.19,0.6,0.280226206,0.15,0.779494473,218.4347791,4.632961857,0.33,3.03030303,104.1726498,100.6
838,1200,0.13,0.31,0.6,0.294012647,0.15,0.838888526,295.9726027,3.419235399,0.33,3.03030303,41.49221978,32.79
839,1200,0.16,0.28,0.6,0.333021283,0.15,0.826178149,330.1618888,3.065162984,0.33,3.03030303,29.79214231,22.74
840,1000,0.13,0.27,0.6,0.294012647,0.15,0.821683497,241.5853396,4.188995912,0.33,3.03030303,76.76824738,74.88
841,800,0.1,0.28,0.6,0.251188643,0.15,0.826178149,166.0212547,6.095605059,0.33,3.03030303,239.2427859,232
842,1000,0.17,0.22,0.6,0.345357867,0.15,0.796825827,275.1900676,3.677458306,0.33,3.03030303,51.73459856,42.42
843,800,0.17,0.26,0.6,0.345357867,0.15,0.817045048,225.7383478,4.483066391,0.33,3.03030303,94.29099391,91.43
844,700,0.12,0.27,0.6,0.280226206,0.15,0.821683497,161.1800745,6.278691724,0.33,3.03030303,261.6889195,258.16
845,1100,0.19,0.27,0.6,0.369191897,0.15,0.821683497,333.6947779,3.032711528,0.33,3.03030303,28.84657453,20.78
846,700,0.13,0.31,0.6,0.294012647,0.15,0.838888526,172.6506849,5.861546398,0.33,3.03030303,212.47592,209.24
847,900,0.14,0.28,0.6,0.30738086,0.15,0.826178149,228.5562151,4.427794709,0.33,3.03030303,90.81213154,90.07
848,1000,0.11,0.27,0.6,0.265971811,0.15,0.821683497,218.5446482,4.630632727,0.33,3.03030303,104.0140315,101.53
849,800,0.13,0.3,0.6,0.294012647,0.15,0.834772605,196.3469623,5.154141364,0.33,3.03030303,143.8962488,136.73
850,1200,0.2,0.2,0.6,0.380730788,0.15,0.78551503,358.8837075,2.819854953,0.33,3.03030303,23.13787895,15.1
851,700,0.2,0.25,0.6,0.380730788,0.15,0.812252396,216.4746463,4.674912362,0.33,3.03030303,107.0573742,102.74
852,900,0.18,0.26,0.6,0.357407369,0.15,0.817045048,262.8161292,3.85060081,0.33,3.03030303,59.47422359,50.63
853,1000,0.2,0.22,0.6,0.380730788,0.15,0.796825827,303.3761248,3.335793153,0.33,3.03030303,38.49921351,30.25
854,1200,0.13,0.29,0.6,0.294012647,0.15,0.830538367,293.02654,3.453612085,0.33,3.03030303,42.76928461,42.69
855,1200,0.13,0.26,0.6,0.294012647,0.15,0.817045048,288.2658923,3.510647728,0.33,3.03030303,44.94575137,44.49
856,800,0.11,0.22,0.6,0.265971811,0.15,0.796825827,169.5465669,5.968861645,0.33,3.03030303,224.4845213,222.24
857,1200,0.17,0.24,0.6,0.345357867,0.15,0.807293929,334.5663706,3.024810886,0.33,3.03030303,28.61945077,18.71
858,1000,0.17,0.3,0.6,0.345357867,0.15,0.834772605,288.2952859,3.510289795,0.33,3.03030303,44.93186641,38.69
859,900,0.16,0.31,0.6,0.333021283,0.15,0.838888526,251.4309597,4.024961767,0.33,3.03030303,68.01604769,65.92
860,1000,0.2,0.26,0.6,0.380730788,0.15,0.817045048,311.0742048,3.253243067,0.33,3.03030303,35.68406169,34.16
861,1100,0.12,0.22,0.6,0.280226206,0.15,0.796825827,245.6206266,4.120175142,0.33,3.03030303,73.00974661,67.26
862,1000,0.11,0.24,0.6,0.265971811,0.15,0.807293929,214.7174285,4.713171199,0.33,3.03030303,109.7344715,105.19
863,1100,0.17,0.26,0.6,0.345357867,0.15,0.817045048,310.3902282,3.260411921,0.33,3.03030303,35.9228784,27.72
864,800,0.12,0.22,0.6,0.280226206,0.15,0.796825827,178.633183,5.66524082,0.33,3.03030303,191.6372484,187.54
865,700,0.13,0.22,0.6,0.294012647,0.15,0.796825827,163.9938092,6.170964656,0.33,3.03030303,248.3186106,242.94
866,1000,0.17,0.31,0.6,0.345357867,0.15,0.838888526,289.7167515,3.493066918,0.33,3.03030303,44.26714693,38.11
867,1000,0.15,0.28,0.6,0.32037215,0.15,0.826178149,264.6844698,3.823420394,0.33,3.03030303,58.21115538,54.47
868,1200,0.12,0.22,0.6,0.280226206,0.15,0.796825827,267.9497744,3.776827214,0.33,3.03030303,56.08801246,48.08
869,1000,0.1,0.24,0.6,0.251188643,0.15,0.807293929,202.7830665,4.99055477,0.33,3.03030303,130.4975938,121
870,1000,0.18,0.28,0.6,0.357407369,0.15,0.826178149,295.2821591,3.427230426,0.33,3.03030303,41.78691574,33.88
871,1200,0.1,0.23,0.6,0.251188643,0.15,0.802156626,241.7911615,4.185430079,0.33,3.03030303,76.57039403,67.75
872,1000,0.18,0.2,0.6,0.357407369,0.15,0.78551503,280.7488606,3.604645083,0.33,3.03030303,48.69250884,43.99
873,1200,0.1,0.21,0.6,0.251188643,0.15,0.791284929,238.5141452,4.242934938,0.33,3.03030303,79.80301689,72.43
874,900,0.19,0.3,0.6,0.369191897,0.15,0.834772605,277.3721534,3.648527754,0.33,3.03030303,50.51110055,47.87
875,1200,0.12,0.2,0.6,0.280226206,0.15,0.78551503,264.1462765,3.831210546,0.33,3.03030303,58.57130595,50.39
876,1000,0.12,0.31,0.6,0.280226206,0.15,0.838888526,235.0785492,4.304944044,0.33,3.03030303,83.38994149,76.14
877,700,0.19,0.3,0.6,0.369191897,0.15,0.834772605,215.7338971,4.690964256,0.33,3.03030303,108.1751853,106.66
878,1100,0.13,0.3,0.6,0.294012647,0.15,0.834772605,269.9770731,3.748466447,0.33,3.03030303,54.82143345,46.47
879,1000,0.17,0.21,0.6,0.345357867,0.15,0.791284929,273.276475,3.70320936,0.33,3.03030303,52.84019855,44.36
880,1000,0.13,0.27,0.6,0.294012647,0.15,0.821683497,241.5853396,4.188995912,0.33,3.03030303,76.76824738,71.48
881,1200,0.15,0.25,0.6,0.32037215,0.15,0.812252396,312.2676556,3.240809548,0.33,3.03030303,35.2723892,34.62
882,900,0.11,0.27,0.6,0.265971811,0.15,0.821683497,196.6901833,5.145147474,0.33,3.03030303,143.1366972,136.22
883,900,0.18,0.25,0.6,0.357407369,0.15,0.812252396,261.2744931,3.873321073,0.33,3.03030303,60.54401363,59.09
884,1000,0.12,0.28,0.6,0.280226206,0.15,0.826178149,231.5167687,4.371173655,0.33,3.03030303,87.33860339,78.12
885,1000,0.15,0.28,0.6,0.32037215,0.15,0.826178149,264.6844698,3.823420394,0.33,3.03030303,58.21115538,54.32
886,900,0.2,0.26,0.6,0.380730788,0.15,0.817045048,279.9667843,3.614714519,0.33,3.03030303,49.10586255,42
887,700,0.1,0.3,0.6,0.251188643,0.15,0.834772605,146.7797786,6.894682699,0.33,3.03030303,347.4980538,341.83
888,800,0.12,0.23,0.6,0.280226206,0.15,0.802156626,179.8282467,5.627591986,0.33,3.03030303,187.8040078,177.96
889,1000,0.15,0.2,0.6,0.32037215,0.15,0.78551503,251.6571389,4.021344296,0.33,3.03030303,67.83097407,60.8
890,900,0.2,0.31,0.6,0.380730788,0.15,0.838888526,287.4516202,3.520592436,0.33,3.03030303,45.33267727,41.87
891,1100,0.12,0.27,0.6,0.280226206,0.15,0.821683497,253.2829743,3.995531097,0.33,3.03030303,66.52012797,66.5
892,800,0.13,0.28,0.6,0.294012647,0.15,0.826178149,194.3254594,5.207758176,0.33,3.03030303,148.4803968,148.44
893,1000,0.17,0.29,0.6,0.345357867,0.15,0.830538367,286.8329586,3.5281859,0.33,3.03030303,45.62961963,43.89
894,1000,0.11,0.24,0.6,0.265971811,0.15,0.807293929,214.7174285,4.713171199,0.33,3.03030303,109.7344715,107.69
895,900,0.15,0.2,0.6,0.32037215,0.15,0.78551503,226.491425,4.468160329,0.33,3.03030303,93.34415229,87.68
896,1000,0.13,0.29,0.6,0.294012647,0.15,0.830538367,244.1887834,4.144334502,0.33,3.03030303,74.31477305,67.25
897,1200,0.14,0.24,0.6,0.30738086,0.15,0.807293929,297.7760425,3.398527268,0.33,3.03030303,40.73540104,38.94
898,1100,0.16,0.19,0.6,0.333021283,0.15,0.779494473,285.5470744,3.544074133,0.33,3.03030303,46.25513925,45.81
899,1200,0.2,0.2,0.6,0.380730788,0.15,0.78551503,358.8837075,2.819854953,0.33,3.03030303,23.13787895,15.31
900,900,0.13,0.2,0.6,0.294012647,0.15,0.78551503,207.8562176,4.868750194,0.33,3.03030303,121.0830383,112.51
901,900,0.11,0.24,0.6,0.265971811,0.15,0.807293929,193.2456857,5.236856888,0.33,3.03030303,151.008759,147.95
902,800,0.11,0.26,0.6,0.265971811,0.15,0.817045048,173.8487612,5.821151633,0.33,3.03030303,208.0696923,204.18
903,1200,0.15,0.19,0.6,0.32037215,0.15,0.779494473,299.673984,3.37700319,0.33,3.03030303,39.95862337,33.37
904,800,0.1,0.24,0.6,0.251188643,0.15,0.807293929,162.2264532,6.238193463,0.33,3.03030303,256.6074198,247.53
905,1000,0.12,0.3,0.6,0.280226206,0.15,0.834772605,233.9251603,4.326169953,0.33,3.03030303,84.64213238,75.91
906,700,0.13,0.28,0.6,0.294012647,0.15,0.826178149,170.034777,5.95172363,0.33,3.03030303,222.5370323,213.17
907,1200,0.18,0.3,0.6,0.357407369,0.15,0.834772605,358.024657,2.826620961,0.33,3.03030303,23.30652368,14.68
908,800,0.13,0.29,0.6,0.294012647,0.15,0.830538367,195.3510267,5.180418128,0.33,3.03030303,146.1308337,141.56
909,1100,0.14,0.21,0.6,0.30738086,0.15,0.791284929,267.5484263,3.782492815,0.33,3.03030303,56.34336266,56.14
910,1100,0.19,0.23,0.6,0.369191897,0.15,0.802156626,325.7646992,3.106536719,0.33,3.03030303,31.02751138,22.49
911,1100,0.2,0.29,0.6,0.380730788,0.15,0.830538367,347.8326794,2.909444856,0.33,3.03030303,25.43813356,15.64
912,800,0.19,0.3,0.6,0.369191897,0.15,0.834772605,246.5530253,4.104593724,0.33,3.03030303,72.17627674,69.76
913,1000,0.2,0.25,0.6,0.380730788,0.15,0.812252396,309.2494947,3.272438653,0.33,3.03030303,36.32592722,28.11
914,800,0.17,0.22,0.6,0.345357867,0.15,0.796825827,220.1520541,4.596822883,0.33,3.03030303,101.729706,95.05
915,1100,0.18,0.19,0.6,0.357407369,0.15,0.779494473,306.456776,3.302260153,0.33,3.03030303,37.33837443,33.81
916,1000,0.13,0.3,0.6,0.294012647,0.15,0.834772605,245.4337028,4.123313092,0.33,3.03030303,73.17837586,72.2
917,1100,0.16,0.3,0.6,0.333021283,0.15,0.834772605,305.7967483,3.309387709,0.33,3.03030303,37.58312405,31.81
918,800,0.16,0.26,0.6,0.333021283,0.15,0.817045048,217.6747121,4.64913903,0.33,3.03030303,105.2788207,95.95
919,1200,0.18,0.2,0.6,0.357407369,0.15,0.78551503,336.8986327,3.003870903,0.33,3.03030303,28.02328102,20.56
920,900,0.16,0.24,0.6,0.333021283,0.15,0.807293929,241.9614538,4.182484375,0.33,3.03030303,76.40720703,73.15
921,1000,0.2,0.29,0.6,0.380730788,0.15,0.830538367,316.2115268,3.200389342,0.33,3.03030303,33.95608582,24.63
922,1100,0.17,0.19,0.6,0.345357867,0.15,0.779494473,296.125003,3.417475694,0.33,3.03030303,41.42754475,40.45
923,1000,0.15,0.21,0.6,0.32037215,0.15,0.791284929,253.5056538,3.992021419,0.33,3.03030303,66.34322118,59.31
924,700,0.13,0.19,0.6,0.294012647,0.15,0.779494473,160.4268631,6.308170469,0.33,3.03030303,265.4298493,262.19
925,900,0.2,0.24,0.6,0.380730788,0.15,0.807293929,276.625488,3.658375833,0.33,3.03030303,50.92538268,41.91
926,900,0.19,0.31,0.6,0.369191897,0.15,0.838888526,278.7397615,3.630626627,0.33,3.03030303,49.7638422,49.48
927,700,0.12,0.27,0.6,0.280226206,0.15,0.821683497,161.1800745,6.278691724,0.33,3.03030303,261.6889195,256.23
928,1100,0.2,0.25,0.6,0.380730788,0.15,0.812252396,340.1744442,2.97494423,0.33,3.03030303,27.21349549,24.48
929,1100,0.15,0.25,0.6,0.32037215,0.15,0.812252396,286.245351,3.535428598,0.33,3.03030303,45.91405694,42.63
930,1200,0.11,0.26,0.6,0.265971811,0.15,0.817045048,260.7731418,3.880767755,0.33,3.03030303,60.89742777,58.55
931,900,0.16,0.2,0.6,0.333021283,0.15,0.78551503,235.4339008,4.298446385,0.33,3.03030303,83.00911819,74.26
932,900,0.14,0.27,0.6,0.30738086,0.15,0.821683497,227.312802,4.452014981,0.33,3.03030303,92.32580052,85.74
933,1200,0.12,0.23,0.6,0.280226206,0.15,0.802156626,269.7423701,3.75172799,0.33,3.03030303,54.96610714,45.02
934,1200,0.12,0.27,0.6,0.280226206,0.15,0.821683497,276.3086992,3.662570172,0.33,3.03030303,51.1025163,44.23
935,1000,0.12,0.31,0.6,0.280226206,0.15,0.838888526,235.0785492,4.304944044,0.33,3.03030303,83.38994149,74.69
936,900,0.12,0.19,0.6,0.280226206,0.15,0.779494473,196.5913012,5.147735397,0.33,3.03030303,143.3549764,135.72
937,1100,0.17,0.19,0.6,0.345357867,0.15,0.779494473,296.125003,3.417475694,0.33,3.03030303,41.42754475,33.26
938,900,0.2,0.3,0.6,0.380730788,0.15,0.834772605,286.0412683,3.537951031,0.33,3.03030303,46.01339684,42.8
939,1200,0.16,0.19,0.6,0.333021283,0.15,0.779494473,311.5058993,3.248734622,0.33,3.03030303,35.53441763,27.51
940,700,0.14,0.31,0.6,0.30738086,0.15,0.838888526,180.5007935,5.606623551,0.33,3.03030303,185.6915375,182.79
941,900,0.18,0.23,0.6,0.357407369,0.15,0.802156626,258.0270207,3.922069856,0.33,3.03030303,62.88271533,56.4
942,700,0.12,0.19,0.6,0.280226206,0.15,0.779494473,152.9043454,6.618516939,0.33,3.03030303,307.0107553,305.75
943,900,0.15,0.28,0.6,0.32037215,0.15,0.826178149,238.2160228,4.248244883,0.33,3.03030303,80.1060434,71.57
944,800,0.12,0.2,0.6,0.280226206,0.15,0.78551503,176.0975176,5.746815819,0.33,3.03030303,200.1219765,196.46
945,1000,0.14,0.24,0.6,0.30738086,0.15,0.807293929,248.1467021,4.078232721,0.33,3.03030303,70.78075098,67.09
